time,x_wrapped,s_unwrapped,y,z,vx,vy,vz,radius,in_late_window,in_velocity_fit_window,vx_linear_fit
1.500000000000000000e+00,7.945521901442857970e-01,0.000000000000000000e+00,5.847149420070182346e-01,2.252845438010040169e-01,2.471387013996039883e+00,-3.669810617925033103e-02,-6.578765704682390525e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.150638221440736686e+00
1.600000000000000089e+00,9.478359368659579065e-01,1.532837467216721095e-01,6.063038676109668845e-01,1.831726743590826045e-01,2.035835748677125689e+00,4.059174934391325540e-02,3.029999427173514503e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.176936385331563528e+00
1.700000000000000178e+00,1.468299281055040484e-01,3.522777379612183069e-01,5.820915963846040597e-01,2.206297032591375551e-01,2.406020478379109484e+00,-3.586502754501236234e-02,5.368823757359783566e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.203234549222390370e+00
1.800000000000000044e+00,5.288835207151733053e-01,7.343313305708876193e-01,5.707057262009089804e-01,2.181581020098796730e-01,2.755882428731882161e+00,3.449847015252226895e-02,-6.030781278766657316e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.229532713113217213e+00
1.900000000000000133e+00,8.672452791955871376e-01,1.072693089051301563e+00,5.780291570010532842e-01,2.283253513225892706e-01,2.850111070165774585e+00,6.291143918883075614e-02,5.559302651433590398e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.255830877004044055e+00
2.000000000000000000e+00,1.528465658811232197e-01,1.358294375736837534e+00,5.815013182533229630e-01,2.328838350560115678e-01,2.665838577752665195e+00,-1.470225469189746226e-01,2.946993331652708603e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.282129040894870897e+00
2.100000000000000089e+00,5.147356299932962509e-01,1.720183439849010565e+00,5.934465590066608787e-01,2.291933346597024856e-01,2.358458465286485062e+00,1.572946561680970412e-01,1.448566262970018836e-01,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.308427204785697961e+00
2.200000000000000178e+00,6.778555855520118634e-01,1.883303395407726288e+00,5.524795566623409426e-01,2.660999397871052219e-01,2.207399297741526656e+00,-1.364164054694025352e-01,8.505048912910911918e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.334725368676524804e+00
2.300000000000000266e+00,8.405762504490450482e-01,2.046024060304759473e+00,5.557782220709491794e-01,2.425425687611901249e-01,2.200588964319709184e+00,4.906477890315459611e-02,-1.603757902639013355e-01,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.361023532567351868e+00
2.400000000000000355e+00,1.118902747872868586e-02,2.216636837334442944e+00,5.392726412581497764e-01,2.448204393461579642e-01,2.529688250631806135e+00,2.141187729085722302e-02,9.065099974690843387e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.387321696458178710e+00
