time,x,y,z,vx,vy,vz,radius,in_late_averaging_window
1.500000000000000000e+00,5.090030592540171206e-01,5.034640583662259861e-01,2.370587079089572502e-01,1.490989204155826753e-01,2.468260085603381487e-03,-4.733512710028953650e-04,5.000000000000000278e-02,0.000000000000000000e+00
1.600000000000000089e+00,5.278150641762784367e-01,5.033516834465956435e-01,2.362714649320498406e-01,2.277872443270006486e-01,-5.030893570632943498e-03,-1.312825267289867599e-02,5.000000000000000278e-02,0.000000000000000000e+00
1.700000000000000178e+00,5.462042226153667190e-01,5.043008492071364701e-01,2.356694179059168892e-01,1.546248975734923203e-01,1.410573648250290288e-02,1.412874550423827424e-02,5.000000000000000278e-02,0.000000000000000000e+00
1.800000000000000044e+00,5.633635594315348216e-01,5.063575933954092001e-01,2.368452469053348164e-01,1.460306091633479519e-01,2.792077924548713730e-02,-5.674034311516282063e-03,5.000000000000000278e-02,0.000000000000000000e+00
1.900000000000000133e+00,5.772104668647686232e-01,5.074485951070069056e-01,2.378462414576224260e-01,1.526590083008191601e-01,1.524313522471500322e-02,2.180345482353395967e-02,5.000000000000000278e-02,0.000000000000000000e+00
2.000000000000000000e+00,5.913032711975441114e-01,5.083767827847700538e-01,2.362759521700813214e-01,1.285970817036874714e-01,1.365959494005530850e-02,-3.504360388993003200e-02,5.000000000000000278e-02,1.000000000000000000e+00
2.100000000000000089e+00,6.046457345151743379e-01,5.082532602734882721e-01,2.335611911388691952e-01,1.356411883879784230e-01,-9.981224843513179790e-03,-2.525809005046058056e-02,5.000000000000000278e-02,1.000000000000000000e+00
2.200000000000000178e+00,6.201394686812917723e-01,5.075715305129619992e-01,2.320248327717210068e-01,1.786046250909620881e-01,-7.610372919767119035e-03,-1.198614500872158262e-02,5.000000000000000278e-02,1.000000000000000000e+00
2.300000000000000266e+00,6.369117003769262375e-01,5.072336436885451771e-01,2.299746817459450976e-01,1.861329723421037696e-01,-1.488128087808368583e-02,-1.637733012428704144e-02,5.000000000000000278e-02,1.000000000000000000e+00
2.400000000000000355e+00,6.563216304966330572e-01,5.066299309737090084e-01,2.280208490616245087e-01,1.999750250571280252e-01,-8.193559550154828376e-04,-2.319035367064641376e-02,5.000000000000000278e-02,1.000000000000000000e+00
2.500000000000000000e+00,6.736002239855803930e-01,5.082768991665984615e-01,2.280607323064434699e-01,1.662074980920879019e-01,2.742159301805707772e-02,9.629674080571404976e-03,5.000000000000000278e-02,1.000000000000000000e+00
2.600000000000000089e+00,6.909693371093900138e-01,5.104630588618566112e-01,2.308939488466616452e-01,1.779311680505242244e-01,2.130455527365868532e-02,3.370546460516709447e-02,5.000000000000000278e-02,1.000000000000000000e+00
2.700000000000000178e+00,7.099667118736558979e-01,5.103347291173220279e-01,2.352935616044423417e-01,1.965871727487227272e-01,-1.393808012764185741e-02,4.783441198599160810e-02,5.000000000000000278e-02,1.000000000000000000e+00
2.800000000000000266e+00,7.282726376008648028e-01,5.103123236225269865e-01,2.375384970021116038e-01,1.914944848394202481e-01,1.281528042343494170e-02,2.655712928227786651e-02,5.000000000000000278e-02,1.000000000000000000e+00
2.900000000000000355e+00,7.479019272902487359e-01,5.123624081191084922e-01,2.391940414472695231e-01,1.746990787290522429e-01,8.473814663005601461e-03,1.586517870048705786e-02,5.000000000000000278e-02,1.000000000000000000e+00
3.000000000000000000e+00,7.641375335032178917e-01,5.145784432450237755e-01,2.423014703351527577e-01,1.699633877114695990e-01,3.443823111938255216e-02,3.799444198597926731e-02,5.000000000000000278e-02,1.000000000000000000e+00
3.100000000000000089e+00,7.811633045754328153e-01,5.165880411371884806e-01,2.450279876478902996e-01,1.795478916306110506e-01,7.841192641024159402e-03,3.227106694082363531e-02,5.000000000000000278e-02,1.000000000000000000e+00
3.200000000000000178e+00,8.010303439699417716e-01,5.166929420017684071e-01,2.494190263235311344e-01,2.225395053848570892e-01,-7.184024231926268780e-03,5.345449248153484600e-02,5.000000000000000278e-02,1.000000000000000000e+00
3.300000000000000266e+00,8.248271225473730039e-01,5.150123452060011431e-01,2.537372612636343283e-01,2.375683566475046971e-01,-1.655506611153172158e-02,3.399912043700526604e-02,5.000000000000000278e-02,1.000000000000000000e+00
3.400000000000000355e+00,8.501562202451384831e-01,5.133564355996331763e-01,2.553308696503181485e-01,2.697733458635256931e-01,-1.528625192098528873e-02,1.049405012609201486e-02,5.000000000000000278e-02,1.000000000000000000e+00
3.500000000000000000e+00,8.759096800331886978e-01,5.135936172265864741e-01,2.550647242797964842e-01,2.721336149575835917e-01,2.720532786980743925e-02,1.063700862402567650e-03,5.000000000000000278e-02,1.000000000000000000e+00
3.600000000000000089e+00,9.008179240802119958e-01,5.129059509753756130e-01,2.557336772277212233e-01,2.262066098534366576e-01,-1.141151566454796581e-02,8.580299230331642213e-03,5.000000000000000278e-02,1.000000000000000000e+00
3.700000000000000178e+00,9.229920346349521632e-01,5.120161859988283659e-01,2.558187141057392533e-01,2.244467893065243413e-01,1.475976237502227284e-02,-1.547905761078537633e-02,5.000000000000000278e-02,1.000000000000000000e+00
3.800000000000000266e+00,9.478711549834534233e-01,5.147458507073392475e-01,2.535851047826561677e-01,2.898713192863937582e-01,3.337588695852580084e-02,-1.980092195444941791e-02,5.000000000000000278e-02,1.000000000000000000e+00
3.900000000000000355e+00,9.798867147322634086e-01,5.178102025369470951e-01,2.517333006998724310e-01,3.267313848309025826e-01,2.291715798860193692e-02,-2.562720895506557378e-02,5.000000000000000278e-02,1.000000000000000000e+00
4.000000000000000000e+00,7.254529052353897445e-02,5.185259306724948614e-01,1.984061861971475604e-01,1.476905059343694093e+00,-8.222473455890959293e-02,-1.271043413284224544e+00,5.000000000000000278e-02,1.000000000000000000e+00
4.100000000000000533e+00,1.509569674862130673e-01,5.168526985079534564e-01,1.337420424887711956e-01,5.931188859451002049e-01,4.067630550825502428e-02,-3.534534776756874108e-01,5.000000000000000278e-02,1.000000000000000000e+00
4.200000000000000178e+00,1.985654283134038467e-01,5.189754943046970270e-01,1.187255136780287906e-01,4.083787483017832787e-01,-1.389813511516646907e-03,-6.500784349862398503e-06,5.000000000000000278e-02,1.000000000000000000e+00
4.299999999999999822e+00,2.371046770498296818e-01,5.191220854017336572e-01,1.178799952986591265e-01,3.411788039093548441e-01,8.580291341785169917e-04,1.613283428178773071e-02,5.000000000000000278e-02,1.000000000000000000e+00
4.400000000000000355e+00,2.723096557786200966e-01,5.176940602391530977e-01,1.170484788711889934e-01,3.776194085490653385e-01,-2.007022448270440879e-02,-7.611752503118174133e-03,5.000000000000000278e-02,1.000000000000000000e+00
