time,x,y,z,vx,vy,vz,radius,gap_bottom,gap_top,closest_surface_gap,in_correlation_window
1.500000000000000000e+00,5.090030592540171206e-01,5.034640583662259861e-01,2.370587079089572502e-01,1.490989204155826753e-01,2.468260085603381487e-03,-4.733512710028953650e-04,5.000000000000000278e-02,1.870587079089572335e-01,2.129412920910427887e-01,1.870587079089572335e-01,0.000000000000000000e+00
1.600000000000000089e+00,5.278150641762784367e-01,5.033516834465956435e-01,2.362714649320498406e-01,2.277872443270006486e-01,-5.030893570632943498e-03,-1.312825267289867599e-02,5.000000000000000278e-02,1.862714649320498239e-01,2.137285350679501428e-01,1.862714649320498239e-01,0.000000000000000000e+00
1.700000000000000178e+00,5.462042226153667190e-01,5.043008492071364701e-01,2.356694179059168892e-01,1.546248975734923203e-01,1.410573648250290288e-02,1.412874550423827424e-02,5.000000000000000278e-02,1.856694179059169003e-01,2.143305820940831219e-01,1.856694179059169003e-01,0.000000000000000000e+00
1.800000000000000044e+00,5.633635594315348216e-01,5.063575933954092001e-01,2.368452469053348164e-01,1.460306091633479519e-01,2.792077924548713730e-02,-5.674034311516282063e-03,5.000000000000000278e-02,1.868452469053348275e-01,2.131547530946651947e-01,1.868452469053348275e-01,0.000000000000000000e+00
1.900000000000000133e+00,5.772104668647686232e-01,5.074485951070069056e-01,2.378462414576224260e-01,1.526590083008191601e-01,1.524313522471500322e-02,2.180345482353395967e-02,5.000000000000000278e-02,1.878462414576224093e-01,2.121537585423775574e-01,1.878462414576224093e-01,0.000000000000000000e+00
2.000000000000000000e+00,5.913032711975441114e-01,5.083767827847700538e-01,2.362759521700813214e-01,1.285970817036874714e-01,1.365959494005530850e-02,-3.504360388993003200e-02,5.000000000000000278e-02,1.862759521700813048e-01,2.137240478299186619e-01,1.862759521700813048e-01,0.000000000000000000e+00
2.100000000000000089e+00,6.046457345151743379e-01,5.082532602734882721e-01,2.335611911388691952e-01,1.356411883879784230e-01,-9.981224843513179790e-03,-2.525809005046058056e-02,5.000000000000000278e-02,1.835611911388692064e-01,2.164388088611308159e-01,1.835611911388692064e-01,0.000000000000000000e+00
2.200000000000000178e+00,6.201394686812917723e-01,5.075715305129619992e-01,2.320248327717210068e-01,1.786046250909620881e-01,-7.610372919767119035e-03,-1.198614500872158262e-02,5.000000000000000278e-02,1.820248327717209902e-01,2.179751672282789765e-01,1.820248327717209902e-01,0.000000000000000000e+00
2.300000000000000266e+00,6.369117003769262375e-01,5.072336436885451771e-01,2.299746817459450976e-01,1.861329723421037696e-01,-1.488128087808368583e-02,-1.637733012428704144e-02,5.000000000000000278e-02,1.799746817459451087e-01,2.200253182540549135e-01,1.799746817459451087e-01,0.000000000000000000e+00
2.400000000000000355e+00,6.563216304966330572e-01,5.066299309737090084e-01,2.280208490616245087e-01,1.999750250571280252e-01,-8.193559550154828376e-04,-2.319035367064641376e-02,5.000000000000000278e-02,1.780208490616245198e-01,2.219791509383755024e-01,1.780208490616245198e-01,0.000000000000000000e+00
2.500000000000000000e+00,6.736002239855803930e-01,5.082768991665984615e-01,2.280607323064434699e-01,1.662074980920879019e-01,2.742159301805707772e-02,9.629674080571404976e-03,5.000000000000000278e-02,1.780607323064434810e-01,2.219392676935565412e-01,1.780607323064434810e-01,0.000000000000000000e+00
2.600000000000000089e+00,6.909693371093900138e-01,5.104630588618566112e-01,2.308939488466616452e-01,1.779311680505242244e-01,2.130455527365868532e-02,3.370546460516709447e-02,5.000000000000000278e-02,1.808939488466616563e-01,2.191060511533383659e-01,1.808939488466616563e-01,0.000000000000000000e+00
2.700000000000000178e+00,7.099667118736558979e-01,5.103347291173220279e-01,2.352935616044423417e-01,1.965871727487227272e-01,-1.393808012764185741e-02,4.783441198599160810e-02,5.000000000000000278e-02,1.852935616044423250e-01,2.147064383955576417e-01,1.852935616044423250e-01,0.000000000000000000e+00
2.800000000000000266e+00,7.282726376008648028e-01,5.103123236225269865e-01,2.375384970021116038e-01,1.914944848394202481e-01,1.281528042343494170e-02,2.655712928227786651e-02,5.000000000000000278e-02,1.875384970021116149e-01,2.124615029978884073e-01,1.875384970021116149e-01,0.000000000000000000e+00
